Detector Coordinates (mm)
       X       Y       Z
    2150     200    1600
    1595     200    1600
    1040     200    1600
     485     200    1600
     -70     200    1600
    -625     200    1600
   -1180     200    1600
   -1735     200    1600
   -2290     200    1600
   -2845     200    1600
   -3400     200    1600
    2150     200    1025
    1595     200    1025
    1040     200    1025
     485     200    1025
     -70     200    1025
    -625     200    1025
   -1180     200    1025
   -1735     200    1025
   -2290     200    1025
   -2845     200    1025
   -3400     200    1025
    2150     200     450
    1595     200     450
    1040     200     450
     485     200     450
     -70     200     450
    -625     200     450
   -1180     200     450
   -1735     200     450
   -2290     200     450
   -2845     200     450
   -3400     200     450
    2150     200    -125
    1595     200    -125
    1040     200    -125
     485     200    -125
     -70     200    -125
    -625     200    -125
   -1180     200    -125
   -1735     200    -125
   -2290     200    -125
   -2845     200    -125
   -3400     200    -125
    2150     200    -700
    1595     200    -700
    1040     200    -700
     485     200    -700
     -70     200    -700
    -625     200    -700
   -1180     200    -700
   -1735     200    -700
   -2290     200    -700
   -2845     200    -700
   -3400     200    -700
    2150     200   -1275
    1595     200   -1275
    1040     200   -1275
     485     200   -1275
     -70     200   -1275
    -625     200   -1275
   -1180     200   -1275
   -1735     200   -1275
   -2290     200   -1275
   -2845     200   -1275
   -3400     200   -1275
    2150    -380    1600
    1595    -380    1600
    1040    -380    1600
     485    -380    1600
     -70    -380    1600
    -625    -380    1600
   -1180    -380    1600
   -1735    -380    1600
   -2290    -380    1600
   -2845    -380    1600
   -3400    -380    1600
    2150    -380    1025
    1595    -380    1025
    1040    -380    1025
     485    -380    1025
     -70    -380    1025
    -625    -380    1025
   -1180    -380    1025
   -1735    -380    1025
   -2290    -380    1025
   -2845    -380    1025
   -3400    -380    1025
    2150    -380     450
    1595    -380     450
    1040    -380     450
     485    -380     450
     -70    -380     450
    -625    -380     450
   -1180    -380     450
   -1735    -380     450
   -2290    -380     450
   -2845    -380     450
   -3400    -380     450
    2150    -380    -125
    1595    -380    -125
    1040    -380    -125
     485    -380    -125
     -70    -380    -125
    -625    -380    -125
   -1180    -380    -125
   -1735    -380    -125
   -2290    -380    -125
   -2845    -380    -125
   -3400    -380    -125
    2150    -380    -700
    1595    -380    -700
    1040    -380    -700
     485    -380    -700
     -70    -380    -700
    -625    -380    -700
   -1180    -380    -700
   -1735    -380    -700
   -2290    -380    -700
   -2845    -380    -700
   -3400    -380    -700
    2150    -380   -1275
    1595    -380   -1275
    1040    -380   -1275
     485    -380   -1275
     -70    -380   -1275
    -625    -380   -1275
   -1180    -380   -1275
   -1735    -380   -1275
   -2290    -380   -1275
   -2845    -380   -1275
   -3400    -380   -1275
    2150    -960    1600
    1595    -960    1600
    1040    -960    1600
     485    -960    1600
     -70    -960    1600
    -625    -960    1600
   -1180    -960    1600
   -1735    -960    1600
   -2845    -960    1600
    2150    -960    1025
    1595    -960    1025
    1040    -960    1025
     485    -960    1025
     -70    -960    1025
    -625    -960    1025
   -1180    -960    1025
   -1735    -960    1025
   -2845    -960    1025
    2150    -960     450
    1595    -960     450
    1040    -960     450
     485    -960     450
     -70    -960     450
    -625    -960     450
   -1180    -960     450
   -1735    -960     450
   -2845    -960     450
    2150    -960    -125
    1595    -960    -125
    1040    -960    -125
     485    -960    -125
     -70    -960    -125
    -625    -960    -125
   -1180    -960    -125
   -1735    -960    -125
   -2845    -960    -125
    2150    -960    -700
    1595    -960    -700
    1040    -960    -700
     485    -960    -700
     -70    -960    -700
    -625    -960    -700
   -1180    -960    -700
   -1735    -960    -700
   -2845    -960    -700
    2150    -960   -1275
    1595    -960   -1275
    1040    -960   -1275
     485    -960   -1275
     -70    -960   -1275
    -625    -960   -1275
   -1180    -960   -1275
   -1735    -960   -1275
   -2845    -960   -1275
    2150   -1540    1600
    1595   -1540    1600
    1040   -1540    1600
     485   -1540    1600
     -70   -1540    1600
    -625   -1540    1600
   -1180   -1540    1600
   -1735   -1540    1600
   -2845   -1540    1600
    2150   -1540    1025
    1595   -1540    1025
    1040   -1540    1025
     485   -1540    1025
     -70   -1540    1025
    -625   -1540    1025
   -1180   -1540    1025
   -1735   -1540    1025
   -2845   -1540    1025
    2150   -1540     450
    1595   -1540     450
    1040   -1540     450
     485   -1540     450
     -70   -1540     450
    -625   -1540     450
   -1180   -1540     450
   -1735   -1540     450
   -2845   -1540     450
    2150   -1540    -125
    1595   -1540    -125
    1040   -1540    -125
     485   -1540    -125
     -70   -1540    -125
    -625   -1540    -125
   -1180   -1540    -125
   -1735   -1540    -125
   -2845   -1540    -125
    2150   -1540    -700
    1595   -1540    -700
    1040   -1540    -700
     485   -1540    -700
     -70   -1540    -700
    -625   -1540    -700
   -1180   -1540    -700
   -1735   -1540    -700
   -2845   -1540    -700
    2150   -1540   -1275
    1595   -1540   -1275
    1040   -1540   -1275
     485   -1540   -1275
     -70   -1540   -1275
    -625   -1540   -1275
   -1180   -1540   -1275
   -1735   -1540   -1275
   -2845   -1540   -1275
    2150   -2120    1600
    1595   -2120    1600
    1040   -2120    1600
     485   -2120    1600
     -70   -2120    1600
    -625   -2120    1600
   -1180   -2120    1600
   -1735   -2120    1600
   -2845   -2120    1600
    2150   -2120    1025
    1595   -2120    1025
    1040   -2120    1025
     485   -2120    1025
     -70   -2120    1025
    -625   -2120    1025
   -1180   -2120    1025
   -1735   -2120    1025
   -2845   -2120    1025
    2150   -2120     450
    1595   -2120     450
    1040   -2120     450
     485   -2120     450
     -70   -2120     450
    -625   -2120     450
   -1180   -2120     450
